Institucioni,2014,2015,2016,2017,2018,Progresi 2014-2018
Uni. i Prishtinës,4937,4096,3878,3938,3133
Kolegji AAB - Prishtinë,13949,21101,10358,7308,4603
Uni. i Tiranës,6247,6184,5804,6260,5440, +807
Uni. Epoka - Tiranë,5700,5500,5100,5759,6217
Uni. i Europës Juglindore,7070,7840,7741,4618,7751, -681
Uni. Shtetrorë i Tetovës,11334,8680,8149,6762,11467, -133
Uni. Politeknik i Tiranës,8716,7452,7219,6291,11519, -2803
Kolegji UBT - Prishtinë,11513,12611,12838,15449,11932, -419
Kol. Universum - Prishtinë,15948,17801,17167,13175,13047, +2901
Uni. Bujgësor i Tiranës,5142,5142,5142,5444,13149
Uni. i Shkodrës,10132,12527,12506,14864,13355,3223
Uni. Europian i Tiranës,15145,15455,15297,12514,13659, +1486
Uni. i Prizrenit,21096,23113,23856,14590,16257
Kolegji lliria - Prishtinë,11687,15365,15314,16734,17729
Uni. i Mitrovcës,16897,16897,16897,14909,18018, -1121